                   ╭------------------------------------╮
              Type | Engine                             |
            Bonus2 |                                    |
            Trash1 | Clay                               |
            Trash2 | Stone                              |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 90                                 |
        VP + Climb | 90                                 |
  Est. Actions Min | 3.6923076923076925                 |
  Est. Actions Max | 6.6923076923076925                 |
Est. VP/Action Min | 13.448275862068964                 |
Est. VP/Action Max | 24.375                             |
             Snark | The stones aren't red. Wait… aren' |
                   | t bricks stones? I don't know. You |
                   | 're not supposed to think of theme |
                   |  in these games.                   |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Premium Building               |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Stone                              |
            Trash2 | Stone                              |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 100                                |
        VP + Climb | 100                                |
  Est. Actions Min | 4.0                                |
  Est. Actions Max | 7.0                                |
Est. VP/Action Min | 14.285714285714286                 |
Est. VP/Action Max | 25.0                               |
             Snark | Seems like a lot now, but this won |
                   | 't win you the game alone.         |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Fragile Building               |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Stone                              |
            Trash2 | Glass                              |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | No substitution can be made for th |
                   | e glass.                           |
                VP | 110                                |
        VP + Climb | 110                                |
  Est. Actions Min | 4.0                                |
  Est. Actions Max | 7.0                                |
Est. VP/Action Min | 15.714285714285714                 |
Est. VP/Action Max | 27.5                               |
             Snark | People in glass houses shouldn't t |
                   | hrow stones. Go outside first.     |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | Cattle Breed!                      |
            Bonus1 | Cattle                             |
            Bonus2 | Cattle                             |
            Trash1 | Cattle                             |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 40                                 |
        VP + Climb | 40                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 13.333333333333334                 |
Est. VP/Action Max |                                    |
             Snark | I won't tell you how we got this c |
                   | ow to breed by itself.             |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | Veggie Soup                        |
            Bonus1 | Food                               |
            Bonus2 | Food                               |
            Trash1 | Carrot                             |
            Trash2 | Clay                               |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 3.6923076923076925                 |
  Est. Actions Max | 3.6923076923076925                 |
Est. VP/Action Min | 8.125                              |
Est. VP/Action Max |                                    |
             Snark | Wait, aren't carrots themselves fo |
                   | od? And how does one measly carrot |
                   |  give you MORE food? Is this desig |
                   | ner Big Vegetable??                |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Arms Race                      |
            Bonus1 | Soldier                            |
            Bonus2 |                                    |
            Trash1 | Wood                               |
            Trash2 |                                    |
         Requires1 | Army                               |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 40                                 |
        VP + Climb | 40                                 |
  Est. Actions Min | 2.6470588235294117                 |
  Est. Actions Max | 4.647058823529411                  |
Est. VP/Action Min | 8.607594936708862                  |
Est. VP/Action Max | 15.11111111111111                  |
             Snark | I'm pretty sure this strategy work |
                   | ed for me at least once.           |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | There's Always a Golem             |
            Bonus1 | Soldier                            |
            Bonus2 |                                    |
            Trash1 | Clay                               |
            Trash2 |                                    |
         Requires1 | Army                               |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 40                                 |
        VP + Climb | 40                                 |
  Est. Actions Min | 2.6923076923076925                 |
  Est. Actions Max | 4.6923076923076925                 |
Est. VP/Action Min | 8.524590163934425                  |
Est. VP/Action Max | 14.857142857142856                 |
             Snark | Tank and spank always works.       |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Military Commitment            |
            Bonus1 | Soldier                            |
            Bonus2 | Soldier                            |
            Trash1 | Stone                              |
            Trash2 |                                    |
         Requires1 | Army                               |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 40                                 |
        VP + Climb | 40                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 5.0                                |
Est. VP/Action Min | 8.0                                |
Est. VP/Action Max | 13.333333333333334                 |
             Snark | You're in it now.                  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | Please, Think of the Children      |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Food                               |
            Trash2 | Food                               |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | Climb 1 rung on a Ladder           |
                VP | 80                                 |
        VP + Climb | 100                                |
  Est. Actions Min | 4.0                                |
  Est. Actions Max | 4.0                                |
Est. VP/Action Min | 25.0                               |
Est. VP/Action Max |                                    |
             Snark | This was an altruistic act until y |
                   | ou noticed those sweet, sweet veep |
                   | s.                                 |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | Sheep Climb!                       |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Sheep                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | Climb 1 rung on a Ladder           |
                VP | 10                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | Are we climbing a sheep, or is the |
                   |  sheep doing the climbing? Because |
                   |  they're not goats. Should we be w |
                   | orried?                            |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 2                                  |
             Title | Grain Climb!                       |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Grain                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | Climb 1 rung on a Ladder           |
                VP | 10                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | Thematically this card makes no se |
                   | nse. We needed it for game reasons |
                   | .                                  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 2                                  |
             Title | Grain Climb!                       |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Grain                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | Climb 1 rung on a Ladder           |
                VP | 10                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | Thematically this card makes no se |
                   | nse. We needed it for game reasons |
                   | .                                  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | Clay Climb!                        |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Clay                               |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | Climb 1 rung on a Ladder           |
                VP | 10                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 2.6923076923076925                 |
  Est. Actions Max | 2.6923076923076925                 |
Est. VP/Action Min | 11.142857142857142                 |
Est. VP/Action Max |                                    |
             Snark | Always make sure your clay ladders |
                   |  are kiln-dried before embarking.  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | Stone Climb!                       |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Stone                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | Climb 1 rung on a Ladder           |
                VP | 20                                 |
        VP + Climb | 40                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 13.333333333333334                 |
Est. VP/Action Max |                                    |
             Snark | Stone ladders: also known as "stai |
                   | rs".                               |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | Free Climb!                        |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | Climb 1 rung on a Ladder           |
                VP | 10                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min | 15.0                               |
Est. VP/Action Max |                                    |
             Snark | Yep. Free. The only cost is that y |
                   | ou're not working on any of your o |
                   | ther strategies.                   |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | Chain Climb Mastery                |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Chain 3x Climb                     |
       Description | Play immediately. Once per turn, i |
                   | f you use the Chain Rule to play o |
                   | r steal 3 cards in one action, you |
                   |  may climb a ladder.               |
                VP | 10                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 1.0                                |
  Est. Actions Max | 1.0                                |
Est. VP/Action Min | 30.0                               |
Est. VP/Action Max |                                    |
             Snark | Who needs a chain to climb a ladde |
                   | r? Is it a chain ladder? We really |
                   |  need artwork to clarify this stuf |
                   | f.                                 |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | Chain Rule Mastery                 |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Chain 3x Draw                      |
       Description | Play immediately. Once per turn, i |
                   | f you use the Chain Rule to play o |
                   | r steal 3 cards in one action, you |
                   |  may draw a Special card.          |
                VP | 10                                 |
        VP + Climb | 10                                 |
  Est. Actions Min | 1.0                                |
  Est. Actions Max | 1.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | You're gonna have to learn that ru |
                   | le now.                            |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Combo Thing-in-a-Set           |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Wood                               |
            Trash2 | Grain                              |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 60                                 |
        VP + Climb | 60                                 |
  Est. Actions Min | 3.6470588235294117                 |
  Est. Actions Max | 3.6470588235294117                 |
Est. VP/Action Min | 16.451612903225808                 |
Est. VP/Action Max |                                    |
             Snark | Not the same thing as woodgrain. ( |
                   | Hm, this card mysteriously looks l |
                   | ike it's part of a set. I wonder i |
                   | f that will pay off?)              |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Animal Thing-in-a-Set          |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Wild Boar                          |
            Trash2 | Cattle                             |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 70                                 |
        VP + Climb | 70                                 |
  Est. Actions Min | 3.5                                |
  Est. Actions Max | 3.5                                |
Est. VP/Action Min | 20.0                               |
Est. VP/Action Max |                                    |
             Snark | No, they won't breed. (Hm, this ca |
                   | rd mysteriously looks like it's pa |
                   | rt of a set. I wonder if that will |
                   |  pay off...)                       |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Expensive Thing-in-a-Set       |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Stone                              |
            Trash2 | Silk                               |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description |                                    |
                VP | 80                                 |
        VP + Climb | 80                                 |
  Est. Actions Min | 4.0                                |
  Est. Actions Max | 4.0                                |
Est. VP/Action Min | 20.0                               |
Est. VP/Action Max |                                    |
             Snark | Ordinarily these two things don't  |
                   | mix. (Hm, this card mysteriously l |
                   | ooks like it's part of a set. I wo |
                   | nder if that will pay off…)        |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Unfair Deck Dive               |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Glass                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | Upon playing, retrieve any Trashed |
                   |  card and play it immediately with |
                   | out prerequisites.                 |
                VP | -30                                |
        VP + Climb | -30                                |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | -10.0                              |
Est. VP/Action Max |                                    |
             Snark | Playing this card has the hidden a |
                   | dvantage of making your opponents  |
                   | hate you.                          |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | Take That! Tactics                 |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq | Army                               |
             Power | Take That!                         |
       Description | Play immediately. You may only pla |
                   | y this card if you have no Army. Y |
                   | ou are not impacted by the Army to |
                   | ken this round.                    |
                VP | 10                                 |
        VP + Climb | 10                                 |
  Est. Actions Min | 1.0                                |
  Est. Actions Max | 1.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | Rock, paper, scissors rears its ug |
                   | ly head.                           |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Endgame Hate Draft             |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 | Army                               |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Hate Draft                         |
       Description | Before starting Endgame actions, y |
                   | ou may trash 1 Payoff card availab |
                   | le.                                |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 4.0                                |
Est. VP/Action Min | 5.0                                |
Est. VP/Action Max | 10.0                               |
             Snark | "Which is more fun… scoring more p |
                   | oints for myself, or denying point |
                   | s from my opponents?"              |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The One-and-Done Card              |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Trash Me!                          |
       Description | You may trash this card from your  |
                   | tableau for any 2 available Resour |
                   | ce cards.                          |
                VP | 30                                 |
        VP + Climb | 30                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min | 15.0                               |
Est. VP/Action Max |                                    |
             Snark | Make it count. No pressure. Are yo |
                   | u sure you that's a good enough us |
                   | e for this card?? There's probably |
                   |  a better move.                    |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Payoff Gambit                  |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Silk                               |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Endgame Actions                    |
       Description | On your first turn in Endgame, you |
                   |  get 1 extra Action.               |
                VP | 40                                 |
        VP + Climb | 40                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 13.333333333333334                 |
Est. VP/Action Max |                                    |
             Snark | Ok everyone, this player is offici |
                   | ally procrastinating on getting VP |
                   | s.                                 |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Midgame                            |
               qty | 1                                  |
             Title | The Payoff Payoff                  |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | 40 VPs for each Payoff you have pl |
                   | ayed by endgame scoring.           |
                VP | ?                                  |
        VP + Climb |                                    |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | This card is as close at this game |
                   |  gets to Victory Point Points.     |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Endgame                            |
               qty | 1                                  |
             Title | The Unexpected Payoff              |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Glass                              |
            Trash2 | Carrot                             |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | You may not make any substitutions |
                   |  to play this card.                |
                VP | 100                                |
        VP + Climb |                                    |
  Est. Actions Min | 4.0                                |
  Est. Actions Max | 4.0                                |
Est. VP/Action Min | 25.0                               |
Est. VP/Action Max | 25.0                               |
             Snark | This card favors those who have th |
                   | is deck memorized.                 |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Endgame                            |
               qty | 1                                  |
             Title | The Investment Payoff              |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | 60 VP if you have Invested plus 10 |
                   |  VP for each Gold.                 |
                VP | ?                                  |
        VP + Climb |                                    |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | See! I told you that card would pa |
                   | y off.                             |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Endgame                            |
               qty | 1                                  |
             Title | The Unused Garbage Payoff          |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | 30 VP for each Wood, Sheep, and Gr |
                   | ain                                |
                VP | ?                                  |
        VP + Climb |                                    |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | Hey, at least you know nobody else |
                   |  is going for it.                  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Endgame                            |
               qty | 1                                  |
             Title | The Payoff With Math               |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | Take the total number of Glass and |
                   |  Silk you have. Square that number |
                   | , then multiply it by 10 for VPs.  |
                VP | ?                                  |
        VP + Climb |                                    |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | "Go ahead and take your next turn, |
                   |  this is gonna take me a moment."  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Endgame                            |
               qty | 1                                  |
             Title | The Military Payoff                |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 | Military                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | 10 VP for each Soldier, +30 additi |
                   | onal VP if you end the game with t |
                   | he most soldiers.                  |
                VP | ?                                  |
        VP + Climb |                                    |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | Aggression does have benefits.     |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Endgame                            |
               qty | 1                                  |
             Title | The Building Payoff Building       |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 | Building                           |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | 10 VP for each Building you've pla |
                   | yed                                |
                VP | ?                                  |
        VP + Climb |                                    |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 5.0                                |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | You had to see this one coming.    |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Endgame                            |
               qty | 1                                  |
             Title | The Things-in-a-Set Payoff         |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | 30/50/80 VP if you have 1/2/3 Thin |
                   | g-in-a-Set cards.                  |
                VP | ?                                  |
        VP + Climb |                                    |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | Yay! Another point ladder.         |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Endgame                            |
               qty | 1                                  |
             Title | The Unfulfilled Promises Payoff    |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | 40 VP for each Clay, Stone, Carrot |
                   |                                    |
                VP | ?                                  |
        VP + Climb |                                    |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | This card makes your leftover Ston |
                   | es look intentional. Your secret's |
                   |  safe with us.                     |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Endgame                            |
               qty | 1                                  |
             Title | The Breeding Animal Payoff         |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | 50 VP if you have 4 Sheep. 50 VP i |
                   | f you have 3 Cattle.               |
                VP | ?                                  |
        VP + Climb |                                    |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | Breeding isn't just fun for the an |
                   | imals.                             |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Transition                         |
               qty | 1                                  |
             Title | Initiate Endgame!                  |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | All Blockers must be paid by the e |
                   | nd of this turn. Initiate Endgame. |
                   |                                    |
                VP | 0                                  |
        VP + Climb |                                    |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min | 0.0                                |
Est. VP/Action Max | 0.0                                |
             Snark | You didn't forget about food, did  |
                   | you?                               |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Starting Player                    |
               qty | 1                                  |
             Title | The Coveted Starting Player        |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Go First!                          |
       Description | Can be stolen by any player on the |
                   | ir turn if they trash 1 of any Res |
                   | ource.                             |
                VP | 40                                 |
        VP + Climb |                                    |
  Est. Actions Min |                                    |
  Est. Actions Max |                                    |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | Because just going around in a cir |
                   | cle is not strategic enough.       |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Blocker                            |
               qty | 4                                  |
             Title | The Artificial Need                |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | To trash this card, place 3 Food o |
                   | r equivalent on this card in a sin |
                   | gle turn before Endgame. Trash the |
                   |  food. This does not cost an actio |
                   | n, and cannot be part of a chain.  |
                VP | -100                               |
        VP + Climb |                                    |
  Est. Actions Min |                                    |
  Est. Actions Max |                                    |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | Food is how we keep you from makin |
                   | g powerful moves. You're welcome.  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Blocker                            |
               qty | 4                                  |
             Title | The Artificial Need                |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | To trash this card, place 3 Food o |
                   | r equivalent on this card in a sin |
                   | gle turn before Endgame. Trash the |
                   |  food. This does not cost an actio |
                   | n, and cannot be part of a chain.  |
                VP | -100                               |
        VP + Climb |                                    |
  Est. Actions Min |                                    |
  Est. Actions Max |                                    |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | Food is how we keep you from makin |
                   | g powerful moves. You're welcome.  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Blocker                            |
               qty | 4                                  |
             Title | The Artificial Need                |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power |                                    |
       Description | To trash this card, place 3 Food o |
                   | r equivalent on this card in a sin |
                   | gle turn before Endgame. Trash the |
                   |  food. This does not cost an actio |
                   | n, and cannot be part of a chain.  |
                VP | -100                               |
        VP + Climb |                                    |
  Est. Actions Min |                                    |
  Est. Actions Max |                                    |
Est. VP/Action Min |                                    |
Est. VP/Action Max |                                    |
             Snark | Food is how we keep you from makin |
                   | g powerful moves. You're welcome.  |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Blocker                            |
               qty | 4                                  |
             Title | The Artificial Need                |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
